model_id,seed,subset_fraction,subset_size,model_path,accuracy,macro_f1,log_loss
seed1_frac1p0,1,1.0,100778,runs/nslkdd_multiplicity/models/seed1_frac1p0.pt,0.7940915542938254,0.793737514525694,1.5722190141677856
seed1_frac0p75,1,0.75,75584,runs/nslkdd_multiplicity/models/seed1_frac0p75.pt,0.7954222853087296,0.7950397022760025,1.4764600992202759
seed1_frac0p5,1,0.5,50389,runs/nslkdd_multiplicity/models/seed1_frac0p5.pt,0.7877927608232789,0.7872789206004955,1.466807246208191
seed2_frac1p0,2,1.0,100778,runs/nslkdd_multiplicity/models/seed2_frac1p0.pt,0.7733321504613201,0.7731583583699642,1.4269754886627197
seed2_frac0p75,2,0.75,75584,runs/nslkdd_multiplicity/models/seed2_frac0p75.pt,0.7845546486870121,0.7840395541999958,1.9030009508132935
seed2_frac0p5,2,0.5,50389,runs/nslkdd_multiplicity/models/seed2_frac0p5.pt,0.7872161107168204,0.7867508653376796,1.8772740364074707
seed3_frac1p0,3,1.0,100778,runs/nslkdd_multiplicity/models/seed3_frac1p0.pt,0.7865951029098651,0.7863704903455566,1.6886495351791382
seed3_frac0p75,3,0.75,75584,runs/nslkdd_multiplicity/models/seed3_frac0p75.pt,0.7859740951029098,0.7859369422069045,1.5918034315109253
seed3_frac0p5,3,0.5,50389,runs/nslkdd_multiplicity/models/seed3_frac0p5.pt,0.7690738112136267,0.7688327501250183,1.5424243211746216
seed4_frac1p0,4,1.0,100778,runs/nslkdd_multiplicity/models/seed4_frac1p0.pt,0.7819375443577005,0.7818506248917435,1.5791996717453003
seed4_frac0p75,4,0.75,75584,runs/nslkdd_multiplicity/models/seed4_frac0p75.pt,0.7977288857345636,0.7973660190685273,1.5180366039276123
seed4_frac0p5,4,0.5,50389,runs/nslkdd_multiplicity/models/seed4_frac0p5.pt,0.7767476933995742,0.7766093594602813,1.4111889600753784
seed5_frac1p0,5,1.0,100778,runs/nslkdd_multiplicity/models/seed5_frac1p0.pt,0.7909421575585521,0.7905005855234712,1.425124168395996
seed5_frac0p75,5,0.75,75584,runs/nslkdd_multiplicity/models/seed5_frac0p75.pt,0.7991926898509581,0.7989375959883238,1.3972727060317993
seed5_frac0p5,5,0.5,50389,runs/nslkdd_multiplicity/models/seed5_frac0p5.pt,0.7810503903477644,0.780729813491169,1.4590200185775757
